Zeitpunkt des Exports,Messstellenname,ID,Messstellenart,Hoehensystem,Gelaendehoehe (in Meter HS),Filteroberkante (in Meter HS),Filterunterkante (in Meter HS),NW - Niedrigster gemessener Wasserstand [cm u. GOK],MW - Mittlerer Wasserstand [cm u. GOK],HW - Hoechster gemessener Wasserstand [cm u. GOK],NW - Niedrigster gemessener Wasserstand [m ue. NHN],MW - Mittlerer Wasserstand [m ue. NHN],HW - Hoechster gemessener Wasserstand [m ue. NHN],Bezugszeitraum Hauptwerte,MW Januar [cm uGOK],MW Februar [cm uGOK],MW Maerz [cm uGOK],MW April [cm uGOK],MW Mai [cm uGOK],MW Juni [cm uGOK],MW Juli [cm uGOK],MW August [cm uGOK],MW September [cm uGOK],MW Oktober [cm uGOK],MW November [cm uGOK],MW Dezember [cm uGOK],Grundwasserleiterkomplex,loc_id,loc_name,east_3857,north_3857,east_25833,north_25833,x,y,geometry
02.02.2026,"34522459, Golzow, B 7, Giftschuppen",34522459,FeuerlÃ¶schbrunnen,NHN16,"9,5",,,166,131,22,"7,84","8,19","9,28",1990 / 2025,,,,,,,,,,,,,,9146,"34522459, Golzow, B 7, Giftschuppen",1613418.44090677,6905095.9406036,465683.0,5825314.0,465683.0,5825314.0,POINT (4625411.436658493 3283586.4058423853)
02.02.2026,"30448615, Glambeck",30448615,Beobachtungsrohr,NHN92,"53,6","39,6","37,6",685,617,399,"46,75","47,43","49,61",1975 / 2025,,,,,,,,,,,,,,14013,"30448615, Glambeck",1452867.40613644,6971742.17561283,369047.0,5867274.0,369047.0,5867274.0,POINT (4526086.644619078 3318805.3439758606)
02.02.2026,"42530374, Bohrau",42530374,FeuerlÃ¶schbrunnen,NHN16,"68,3",,,360,233,126,"64,7","65,97","67,04",1968 / 2025,,,,,,,,,,,,,,11931,"42530374, Bohrau",1624998.13214537,6761231.50482574,472243.0,5737133.0,472243.0,5737133.0,POINT (4638025.881804784 3196004.1860790094)
02.02.2026,"32471955, RÃ¼dnitz-UP",32471955,Beobachtungsrohr,NHN16,"65,9","-49,89","-51,89",974,829,657,"56,16","57,61","59,33",1981 / 2025,,,,,,,,,,,,,,9598,"32471955, Rüdnitz-UP",1516040.86742805,6930268.32921011,406700.0,5841350.0,406700.0,5841350.0,POINT (4565451.640186302 3295532.408956281)
02.02.2026,"34522495, Gusow-OP,HyGsow 14/79 OP",34522495,Beobachtungsrohr,NHN92,"21,9","4,53","2,53",950,909,838,"12,4","12,81","13,52",1994 / 2025,,,,,,,,,,,,,,10079,"34522495, Gusow-OP,HyGsow 14/79 OP",1597393.66323786,6902138.39578861,455912.0,5823596.0,455912.0,5823596.0,POINT (4615781.212136834 3281199.3633378614)
02.02.2026,"39511751, Trebitz",39511751,Beobachtungsrohr,NHN92,"57,05","47,05","45,05",256,216,177,"54,49","54,89","55,28",2016 / 2025,,,,,,,,,,,,,,15917,"39511751, Trebitz",1595001.18844695,6806871.16752805,453914.99999999,5765399.00035249,453914.99999999,5765399.00035249,POINT (4617799.406481338 3222965.9343952006)
02.02.2026,"31391801, Babe",31391801,Beobachtungsrohr,NHN16,"27,5",19,"17,5",260,197,92,"24,9","25,53","26,58",1971 / 2025,,,,,,,,,,,,,,14350,"31391801, Babe",1370631.35080531,6949387.6709226,318907.0,5855400.0,318907.0,5855400.0,POINT (4476889.278775545 3303492.0203435356)
02.02.2026,"26486016, Fischershof",26486016,Beobachtungsrohr,NHN92,"72,44","7,54","5,54",1575,1531,1439,"56,69","57,13","58,05",1979 / 2025,,,,,,,,,,,,,,9815,"26486016, Fischershof",1528537.06772749,7050108.99703452,415557.0,5913213.0,415557.0,5913213.0,POINT (4569295.4774828395 3367865.812009225)
02.02.2026,"38413441, Weitzgrund, Sendeanlage MP1",38413441,Beobachtungsrohr,NHN92,"109,2","54,2","52,2",3311,3243,3179,"76,09","76,77","77,41",1997 / 2025,,,,,,,,,,,,,,13464,"38413441, Weitzgrund, Sendeanlage MP1",1398131.69213375,6835183.03200435,333203.0,5785364.0,333203.0,5785364.0,POINT (4495990.768477579 3234601.9495826005)
02.02.2026,"36532663, Frankfurt, Umformer, Kleine ScharrnstraÃe",36532663,Beobachtungsrohr,NHN16,"27,6",,,402,379,347,"23,58","23,81","24,13",1989 / 2025,,,,,,,,,,,,,,8831,"36532663, Frankfurt, Umformer, Kleine Scharrnstraße",1619918.12085494,6862556.70921767,469479.0,5799389.0,469479.0,5799389.0,POINT (4630988.460804703 3257966.6312039695)
