ID,Grundwasserleiter,Grundwasserdruckflaeche,is_topmost,file_path
202,Hauptgrundwasserleiter (GWL 1.3 + 2),,True,data/raw/Berlin_wells/timeseries\station_202.csv
204,Hauptgrundwasserleiter (GWL 1.3 + 2),,True,data/raw/Berlin_wells/timeseries\station_204.csv
206,Hauptgrundwasserleiter (GWL 1.3 + 2),,True,data/raw/Berlin_wells/timeseries\station_206.csv
209,Hauptgrundwasserleiter (GWL 1.3 + 2),,True,data/raw/Berlin_wells/timeseries\station_209.csv
211,Hauptgrundwasserleiter (GWL 1.3 + 2),,True,data/raw/Berlin_wells/timeseries\station_211.csv
21101,Hauptgrundwasserleiter (GWL 1.3 + 2),,True,data/raw/Berlin_wells/timeseries\station_21101.csv
214,Hauptgrundwasserleiter (GWL 1.3 + 2),,True,data/raw/Berlin_wells/timeseries\station_214.csv
221,Hauptgrundwasserleiter (GWL 1.3 + 2),,True,data/raw/Berlin_wells/timeseries\station_221.csv
230,Hauptgrundwasserleiter (GWL 1.3 + 2),,True,data/raw/Berlin_wells/timeseries\station_230.csv
231,Hauptgrundwasserleiter (GWL 1.3 + 2),,True,data/raw/Berlin_wells/timeseries\station_231.csv
23101,Hauptgrundwasserleiter (GWL 1.3 + 2),,True,data/raw/Berlin_wells/timeseries\station_23101.csv
232,Hauptgrundwasserleiter (GWL 1.3 + 2),,True,data/raw/Berlin_wells/timeseries\station_232.csv
23201,Hauptgrundwasserleiter (GWL 1.3 + 2),,True,data/raw/Berlin_wells/timeseries\station_23201.csv
23208,Elsterzeitl. GW-Leiter (GWL 3),,False,data/raw/Berlin_wells/timeseries\station_23208.csv
237,Hauptgrundwasserleiter (GWL 1.3 + 2),,True,data/raw/Berlin_wells/timeseries\station_237.csv
23701,Hauptgrundwasserleiter (GWL 1.3 + 2),,True,data/raw/Berlin_wells/timeseries\station_23701.csv
23702,Panketalgrundwasserleiter (GWL 1.2),,True,data/raw/Berlin_wells/timeseries\station_23702.csv
23703,Panketalgrundwasserleiter (GWL 1.2),,True,data/raw/Berlin_wells/timeseries\station_23703.csv
23705,Panketalgrundwasserleiter (GWL 1.2),,True,data/raw/Berlin_wells/timeseries\station_23705.csv
23707,Panketalgrundwasserleiter (GWL 1.2),,True,data/raw/Berlin_wells/timeseries\station_23707.csv
23719,Panketalgrundwasserleiter (GWL 1.2),,True,data/raw/Berlin_wells/timeseries\station_23719.csv
23746,Panketalgrundwasserleiter (GWL 1.2),,True,data/raw/Berlin_wells/timeseries\station_23746.csv
23747,Hauptgrundwasserleiter (GWL 1.3 + 2),,True,data/raw/Berlin_wells/timeseries\station_23747.csv
23748,Panketalgrundwasserleiter (GWL 1.2),,True,data/raw/Berlin_wells/timeseries\station_23748.csv
23749,Hauptgrundwasserleiter (GWL 1.3 + 2),,True,data/raw/Berlin_wells/timeseries\station_23749.csv
23750,Panketalgrundwasserleiter (GWL 1.2),,True,data/raw/Berlin_wells/timeseries\station_23750.csv
23751,Hauptgrundwasserleiter (GWL 1.3 + 2),,True,data/raw/Berlin_wells/timeseries\station_23751.csv
23752,lokal ausgebildeter Grundwasserk�rper,,False,data/raw/Berlin_wells/timeseries\station_23752.csv
23753,Hauptgrundwasserleiter (GWL 1.3 + 2),,True,data/raw/Berlin_wells/timeseries\station_23753.csv
24,Hauptgrundwasserleiter (GWL 1.3 + 2),,True,data/raw/Berlin_wells/timeseries\station_24.csv
241,Hauptgrundwasserleiter (GWL 1.3 + 2),,True,data/raw/Berlin_wells/timeseries\station_241.csv
243,Hauptgrundwasserleiter (GWL 1.3 + 2),,True,data/raw/Berlin_wells/timeseries\station_243.csv
247,lokal ausgebildeter Grundwasserk�rper,,False,data/raw/Berlin_wells/timeseries\station_247.csv
248,Hauptgrundwasserleiter (GWL 1.3 + 2),,True,data/raw/Berlin_wells/timeseries\station_248.csv
249,Hauptgrundwasserleiter (GWL 1.3 + 2),,True,data/raw/Berlin_wells/timeseries\station_249.csv
25,Hauptgrundwasserleiter (GWL 1.3 + 2),,True,data/raw/Berlin_wells/timeseries\station_25.csv
251,Hauptgrundwasserleiter (GWL 1.3 + 2),,True,data/raw/Berlin_wells/timeseries\station_251.csv
252,Hauptgrundwasserleiter (GWL 1.3 + 2),,True,data/raw/Berlin_wells/timeseries\station_252.csv
253,Hauptgrundwasserleiter (GWL 1.3 + 2),,True,data/raw/Berlin_wells/timeseries\station_253.csv
258,Hauptgrundwasserleiter (GWL 1.3 + 2),,True,data/raw/Berlin_wells/timeseries\station_258.csv
259,Hauptgrundwasserleiter (GWL 1.3 + 2),,True,data/raw/Berlin_wells/timeseries\station_259.csv
26,Hauptgrundwasserleiter (GWL 1.3 + 2),,True,data/raw/Berlin_wells/timeseries\station_26.csv
2602,Panketalgrundwasserleiter (GWL 1.2),,True,data/raw/Berlin_wells/timeseries\station_2602.csv
2603,Panketalgrundwasserleiter (GWL 1.2),,True,data/raw/Berlin_wells/timeseries\station_2603.csv
2604,Hauptgrundwasserleiter (GWL 1.3 + 2),,True,data/raw/Berlin_wells/timeseries\station_2604.csv
2605,Panketalgrundwasserleiter (GWL 1.2),,True,data/raw/Berlin_wells/timeseries\station_2605.csv
2606,Hauptgrundwasserleiter (GWL 1.3 + 2),,True,data/raw/Berlin_wells/timeseries\station_2606.csv
2607,Hauptgrundwasserleiter (GWL 1.3 + 2),,True,data/raw/Berlin_wells/timeseries\station_2607.csv
262,Hauptgrundwasserleiter (GWL 1.3 + 2),,True,data/raw/Berlin_wells/timeseries\station_262.csv
,,,False,data/raw/Berlin_wells/timeseries\station_2638.csv
,,,False,data/raw/Berlin_wells/timeseries\station_2639.csv
,,,False,data/raw/Berlin_wells/timeseries\station_2644.csv
,,,False,data/raw/Berlin_wells/timeseries\station_2646.csv
,,,False,data/raw/Berlin_wells/timeseries\station_2647.csv
,,,False,data/raw/Berlin_wells/timeseries\station_2648.csv
268,Hauptgrundwasserleiter (GWL 1.3 + 2),,True,data/raw/Berlin_wells/timeseries\station_268.csv
282,Hauptgrundwasserleiter (GWL 1.3 + 2),,True,data/raw/Berlin_wells/timeseries\station_282.csv
293,Hauptgrundwasserleiter (GWL 1.3 + 2),,True,data/raw/Berlin_wells/timeseries\station_293.csv
294,Hauptgrundwasserleiter (GWL 1.3 + 2),,True,data/raw/Berlin_wells/timeseries\station_294.csv
3,Hauptgrundwasserleiter (GWL 1.3 + 2),,True,data/raw/Berlin_wells/timeseries\station_3.csv
30,Hauptgrundwasserleiter (GWL 1.3 + 2),,True,data/raw/Berlin_wells/timeseries\station_30.csv
30201,Hauptgrundwasserleiter (GWL 1.3 + 2),,True,data/raw/Berlin_wells/timeseries\station_30201.csv
3024,Hauptgrundwasserleiter (GWL 1.3 + 2),,True,data/raw/Berlin_wells/timeseries\station_3024.csv
3025,Hauptgrundwasserleiter (GWL 1.3 + 2),,True,data/raw/Berlin_wells/timeseries\station_3025.csv
3033,Hauptgrundwasserleiter (GWL 1.3 + 2),,True,data/raw/Berlin_wells/timeseries\station_3033.csv
305,Hauptgrundwasserleiter (GWL 1.3 + 2),,True,data/raw/Berlin_wells/timeseries\station_305.csv
3063,Hauptgrundwasserleiter (GWL 1.3 + 2),,True,data/raw/Berlin_wells/timeseries\station_3063.csv
3097,Hauptgrundwasserleiter (GWL 1.3 + 2),,True,data/raw/Berlin_wells/timeseries\station_3097.csv
31,Hauptgrundwasserleiter (GWL 1.3 + 2),,True,data/raw/Berlin_wells/timeseries\station_31.csv
312,Hauptgrundwasserleiter (GWL 1.3 + 2),,True,data/raw/Berlin_wells/timeseries\station_312.csv
3133,Terti�re GW-Leiter (GWL 4),,False,data/raw/Berlin_wells/timeseries\station_3133.csv
3137,Hauptgrundwasserleiter (GWL 1.3 + 2),,True,data/raw/Berlin_wells/timeseries\station_3137.csv
3144,Hauptgrundwasserleiter (GWL 1.3 + 2),,True,data/raw/Berlin_wells/timeseries\station_3144.csv
3154,Hauptgrundwasserleiter (GWL 1.3 + 2),,True,data/raw/Berlin_wells/timeseries\station_3154.csv
3155,Hauptgrundwasserleiter (GWL 1.3 + 2),,True,data/raw/Berlin_wells/timeseries\station_3155.csv
3156,Hauptgrundwasserleiter (GWL 1.3 + 2),,True,data/raw/Berlin_wells/timeseries\station_3156.csv
